0xee7ae74d964f2be7d72c1b187b38e2ed3615d4d1,0,true
0xee7ae74d964f2be7d72c1b187b38e2ed3615d4d1,2,true
0x2f0fd672bf222413cc69dc1f4f1d7e93ad1763a1,0,true
0x2f0fd672bf222413cc69dc1f4f1d7e93ad1763a1,1,true
0x2f0fd672bf222413cc69dc1f4f1d7e93ad1763a1,2,true
0xac297053173b02b02a737d47f7b4a718e5b170ef,1,true
0x49fc0b78238dab644698a90fa351b4c749e123d2,1,true
0x10223927009b8add0960359dd90d1449415b7ca9,2,true
0x3c65cfe3de848cf38e9d76e9c3e57a2f1140b399,1,true
0x3c65cfe3de848cf38e9d76e9c3e57a2f1140b399,5,true
